contract_address,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x07663837218a003e66310a01596af4bf4e44623d,0x23396cf899ca06c4472205fc903bdb4de249d6fc,0x23b891e5c62e0955ae2bd185990103928ab817b3,0x27a339d9b59b21390d7209b78a839868e319301b,0x2e051991329c7fdf3752579abd6954e3e08dcf65,0x35ce243e0dc9ed77e3c348bb2742095f78e1cb70,0x42f6f551ae042cbe50c739158b4f0cac0edb9096,0x54261774905f3e6e9718f2abb10ed6555cae308a,0x55d398326f99059ff775485246999027b3197955,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0xbb368656efa67361b0063fe0f11cb08bd460246d,0xdd17344f7537df99f212a08f5a5480af9f6c083a,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xf0b8b631145d393a767b4387d08aa09969b2dfed,0xf2511b5e4fb0e5e2d123004b672ba14850478c14
,Frapped USDT,rUSD,Wrapped USTC Token,nUSD,OpenWorld,Alpha,Nerve UST Metapool LP,Nerve,ANY Bitcoin,Binance-Peg BSC-USD,Binance-Peg BTCB Token,Binance-Peg USD Coin,SDJT,nUSD LP,Binance-Peg BUSD Token,USD LP,Nerve 3pool LP
,fUSDT,rUSD,USTC,nUSD,OPEN,ALP,nrvUST,NRV,anyBTC,BSC-USD,BTCB,USDC,SDJT,nUSD-LP,BUSD,USD-LP,3NRV-LP
2021-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2738237.011271616,0.0,0.0,0.0,700000.0,0.0,659917.185557634,98999.9999,0.0,0.0
2021-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728237.011271616,0.0,0.0,0.0,550000.0,0.0,659917.185557634,98999.9999,0.0,0.0
2021-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728237.011271616,0.0,0.0,0.0,550000.0,0.0,659917.185557634,98999.9999,0.0,0.0
2021-11,0.0,0.0,0.0,0.0020574094542098464,0.0,0.0,0.0,2728237.011271616,0.0,10155.18976997475,0.0,555535.3667825715,0.0,0.0,106734.20040418177,0.5633925407601055,0.0
2021-12,0.0,0.0,0.0,0.0020574094542098464,0.0,0.0,0.0,2728237.011271616,0.0,10155.18976997475,0.0,555535.3667825715,0.0,0.0,106734.20040418177,0.5633925407601055,0.0
2022-01,0.0,0.0,0.0,0.0020574094542098464,0.0,0.0,0.0,2728237.011271616,0.0,10155.18976997475,0.0,555535.3667825715,0.0,0.0,106734.20040418177,0.5633925407601055,0.0
2022-02,66744.409015,3247.576301817184,28399.35704625313,0.0020574094542098464,0.0,0.0,0.0,2728237.011271616,0.81682311,10155.18976997475,1.3652480118580934,1342877.519152186,0.0,0.0,106734.20040418177,0.5633925407601055,480834.5024206325
2022-03,66744.409015,3247.576301817184,28399.35704625313,0.0020574094542098464,0.0,0.0,0.0,2728237.011271616,0.81682311,10155.18976997475,1.3652480118580934,218446.9017888361,0.0,0.0,106734.20040418177,0.5633925407601055,480834.5024206325
